epoch=1/300 lr=0.25 train_loss=4.2840 val_loss=3.7887 top1_err=89.380 top5_err=66.960 seconds=326.3 peak_reserved_gib=5.297
epoch=2/300 lr=0.25 train_loss=3.7179 val_loss=3.2225 top1_err=78.550 top5_err=49.130 seconds=153.8 peak_reserved_gib=5.305
epoch=3/300 lr=0.25 train_loss=3.1902 val_loss=2.6066 top1_err=68.040 top5_err=34.170 seconds=154.3 peak_reserved_gib=5.305
epoch=4/300 lr=0.25 train_loss=2.7683 val_loss=2.4109 top1_err=62.550 top5_err=30.790 seconds=154.3 peak_reserved_gib=5.305
epoch=5/300 lr=0.25 train_loss=2.5780 val_loss=2.0184 top1_err=53.970 top5_err=22.780 seconds=154.3 peak_reserved_gib=5.305
epoch=6/300 lr=0.25 train_loss=2.3950 val_loss=1.9760 top1_err=52.450 top5_err=21.060 seconds=154.2 peak_reserved_gib=5.305
epoch=7/300 lr=0.25 train_loss=2.2688 val_loss=1.9734 top1_err=52.050 top5_err=21.190 seconds=154.2 peak_reserved_gib=5.305
epoch=8/300 lr=0.25 train_loss=2.1808 val_loss=1.6628 top1_err=45.170 top5_err=16.180 seconds=154.4 peak_reserved_gib=5.305
epoch=9/300 lr=0.25 train_loss=2.0980 val_loss=1.6091 top1_err=43.890 top5_err=14.820 seconds=154.2 peak_reserved_gib=5.305
epoch=10/300 lr=0.25 train_loss=2.0077 val_loss=1.7128 top1_err=46.820 top5_err=16.580 seconds=154.2 peak_reserved_gib=5.305
epoch=11/300 lr=0.25 train_loss=2.0392 val_loss=1.6748 top1_err=44.750 top5_err=16.540 seconds=154.2 peak_reserved_gib=5.305
epoch=12/300 lr=0.25 train_loss=1.9969 val_loss=1.5081 top1_err=41.630 top5_err=13.600 seconds=154.2 peak_reserved_gib=5.305
epoch=13/300 lr=0.25 train_loss=1.9641 val_loss=1.5457 top1_err=42.200 top5_err=14.390 seconds=154.5 peak_reserved_gib=5.305
epoch=14/300 lr=0.25 train_loss=1.9069 val_loss=1.5740 top1_err=42.570 top5_err=14.740 seconds=154.1 peak_reserved_gib=5.305
epoch=15/300 lr=0.25 train_loss=1.8875 val_loss=1.6737 top1_err=44.150 top5_err=16.680 seconds=154.1 peak_reserved_gib=5.305
epoch=16/300 lr=0.25 train_loss=1.8313 val_loss=1.4025 top1_err=39.180 top5_err=11.660 seconds=154.2 peak_reserved_gib=5.305
epoch=17/300 lr=0.25 train_loss=1.8292 val_loss=1.4219 top1_err=38.880 top5_err=12.420 seconds=154.1 peak_reserved_gib=5.305
epoch=18/300 lr=0.25 train_loss=1.8437 val_loss=1.4015 top1_err=37.700 top5_err=11.890 seconds=154.1 peak_reserved_gib=5.305
epoch=19/300 lr=0.25 train_loss=1.8652 val_loss=1.3624 top1_err=37.650 top5_err=11.220 seconds=154.2 peak_reserved_gib=5.305
epoch=20/300 lr=0.25 train_loss=1.7586 val_loss=1.5009 top1_err=40.870 top5_err=13.060 seconds=154.1 peak_reserved_gib=5.305
epoch=21/300 lr=0.25 train_loss=1.8288 val_loss=1.4068 top1_err=38.750 top5_err=12.450 seconds=154.3 peak_reserved_gib=5.305
epoch=22/300 lr=0.25 train_loss=1.7893 val_loss=1.5383 top1_err=40.280 top5_err=13.680 seconds=154.4 peak_reserved_gib=5.305
epoch=23/300 lr=0.25 train_loss=1.7586 val_loss=1.3999 top1_err=38.690 top5_err=11.810 seconds=154.1 peak_reserved_gib=5.305
epoch=24/300 lr=0.25 train_loss=1.7582 val_loss=1.4426 top1_err=39.780 top5_err=12.050 seconds=154.3 peak_reserved_gib=5.305
epoch=25/300 lr=0.25 train_loss=1.7042 val_loss=1.3959 top1_err=37.950 top5_err=11.550 seconds=154.2 peak_reserved_gib=5.305
epoch=26/300 lr=0.25 train_loss=1.7641 val_loss=1.2856 top1_err=35.870 top5_err=10.230 seconds=154.2 peak_reserved_gib=5.305
epoch=27/300 lr=0.25 train_loss=1.7412 val_loss=1.4675 top1_err=39.980 top5_err=12.470 seconds=154.3 peak_reserved_gib=5.305
epoch=28/300 lr=0.25 train_loss=1.7093 val_loss=1.2899 top1_err=36.300 top5_err=10.100 seconds=154.3 peak_reserved_gib=5.305
epoch=29/300 lr=0.25 train_loss=1.7356 val_loss=1.2852 top1_err=35.000 top5_err=11.130 seconds=154.6 peak_reserved_gib=5.305
epoch=30/300 lr=0.25 train_loss=1.7060 val_loss=1.3640 top1_err=37.430 top5_err=11.730 seconds=154.4 peak_reserved_gib=5.305
epoch=31/300 lr=0.25 train_loss=1.7307 val_loss=1.4001 top1_err=37.870 top5_err=12.170 seconds=154.6 peak_reserved_gib=5.305
epoch=32/300 lr=0.25 train_loss=1.7491 val_loss=1.3536 top1_err=37.110 top5_err=11.410 seconds=154.5 peak_reserved_gib=5.305
epoch=33/300 lr=0.25 train_loss=1.7075 val_loss=1.3261 top1_err=36.080 top5_err=10.940 seconds=154.3 peak_reserved_gib=5.305
epoch=34/300 lr=0.25 train_loss=1.6956 val_loss=1.2357 top1_err=34.620 top5_err=10.050 seconds=154.2 peak_reserved_gib=5.305
epoch=35/300 lr=0.25 train_loss=1.6868 val_loss=1.3135 top1_err=36.510 top5_err=10.720 seconds=154.2 peak_reserved_gib=5.305
epoch=36/300 lr=0.25 train_loss=1.7195 val_loss=1.2779 top1_err=35.760 top5_err=10.670 seconds=154.1 peak_reserved_gib=5.305
epoch=37/300 lr=0.25 train_loss=1.7138 val_loss=1.2816 top1_err=35.530 top5_err=10.350 seconds=154.2 peak_reserved_gib=5.305
epoch=38/300 lr=0.25 train_loss=1.6602 val_loss=1.2826 top1_err=36.000 top5_err=10.240 seconds=154.1 peak_reserved_gib=5.305
epoch=39/300 lr=0.25 train_loss=1.7210 val_loss=1.4113 top1_err=38.140 top5_err=11.960 seconds=154.1 peak_reserved_gib=5.305
epoch=40/300 lr=0.25 train_loss=1.6568 val_loss=1.2438 top1_err=34.840 top5_err=9.970 seconds=154.3 peak_reserved_gib=5.305
epoch=41/300 lr=0.25 train_loss=1.6438 val_loss=1.3296 top1_err=36.870 top5_err=11.060 seconds=154.2 peak_reserved_gib=5.305
epoch=42/300 lr=0.25 train_loss=1.6313 val_loss=1.3861 top1_err=37.320 top5_err=11.390 seconds=154.0 peak_reserved_gib=5.305
epoch=43/300 lr=0.25 train_loss=1.6757 val_loss=1.2196 top1_err=34.340 top5_err=9.280 seconds=154.0 peak_reserved_gib=5.305
epoch=44/300 lr=0.25 train_loss=1.6155 val_loss=1.2512 top1_err=34.150 top5_err=10.680 seconds=154.2 peak_reserved_gib=5.305
epoch=45/300 lr=0.25 train_loss=1.6547 val_loss=1.2321 top1_err=34.540 top5_err=9.990 seconds=155.4 peak_reserved_gib=5.305
epoch=46/300 lr=0.25 train_loss=1.6323 val_loss=1.3784 top1_err=36.240 top5_err=11.530 seconds=154.0 peak_reserved_gib=5.305
epoch=47/300 lr=0.25 train_loss=1.6363 val_loss=1.3024 top1_err=35.380 top5_err=10.750 seconds=154.1 peak_reserved_gib=5.305
epoch=48/300 lr=0.25 train_loss=1.6580 val_loss=1.2571 top1_err=35.000 top5_err=9.880 seconds=154.2 peak_reserved_gib=5.305
epoch=49/300 lr=0.25 train_loss=1.6191 val_loss=1.3647 top1_err=37.460 top5_err=11.640 seconds=154.1 peak_reserved_gib=5.305
epoch=50/300 lr=0.25 train_loss=1.6176 val_loss=1.3305 top1_err=36.880 top5_err=10.100 seconds=154.1 peak_reserved_gib=5.305
epoch=51/300 lr=0.25 train_loss=1.6263 val_loss=1.2155 top1_err=33.650 top5_err=9.800 seconds=154.2 peak_reserved_gib=5.305
epoch=52/300 lr=0.25 train_loss=1.6568 val_loss=1.3673 top1_err=36.480 top5_err=11.340 seconds=154.1 peak_reserved_gib=5.305
epoch=53/300 lr=0.25 train_loss=1.6113 val_loss=1.3783 top1_err=37.780 top5_err=12.090 seconds=154.2 peak_reserved_gib=5.305
epoch=54/300 lr=0.25 train_loss=1.6114 val_loss=1.4733 top1_err=38.590 top5_err=12.590 seconds=154.2 peak_reserved_gib=5.305
epoch=55/300 lr=0.25 train_loss=1.6228 val_loss=1.3993 top1_err=37.910 top5_err=11.300 seconds=154.0 peak_reserved_gib=5.305
epoch=56/300 lr=0.25 train_loss=1.6235 val_loss=1.2272 top1_err=34.320 top5_err=9.350 seconds=154.0 peak_reserved_gib=5.305
